Początki zsyłek na Syberię W pierwszej połowie XVII wieku pierwsi polscy zesłańcy byli wysyłani na Urali i Syberię.;In the first half of the 17th century, the first Polish exiles were sent to Urali and Siberia.;zesłańcy;;
Zesłańcy po powstaniach Na Polaków, którzy byli zesłani na Syberię mówimy Sybiracy.;The exiles after the uprisings of the Poles who were sent to Siberia are called the Sibirates.;Sybiracy;;
Zesłańcy to oczywiście ludzie, którzy są wysyłani, zsyłani daleko, daleko od swoich domów.;The exiles are, of course, people who are sent, sent far away, far away from their homes.;zsyłani;;
Katorga to coś znacznie gorszego niż zesłanie.;Katorga is much worse than being sent down.;zesłanie;;
Pond 10 tysięcy Polaków wysłno na Syberię po powstaniu kościuszkowskim, czyli to było 200 lat temu.;Pond 10,000 Poles were sent to Siberia after the Kościuszko Uprising, which was 200 years ago.;kościuszkowskim;;
Dlatego założyłem nowy kurs, założyłem całkiem nową stronę, która nazywa się realkartapolaka.com Tak, dowiadujecie się o tym jako pierwsi, jeszcze nikt o tym nie wie, do tej pory to była tajemnica.;That's why I started a new course, I started a whole new website called realkartapolaka.com Yeah, you're the first to know about it, nobody knows it yet, it's been a secret.;dowiadujecie;;
Komunistyczne gułagi W 1917 wybuchła rewolucja październikowa.;Communist Gulags The October Revolution broke out in 1917.;gułagi;;
Wszystkiego najlepszego i pozdrawiam!;Happy birthday and greetings!;pozdrawiam;;
Wielu polskich jeńców wojennych zostało wtedy osadzonych na tak zwanych pustkach.;Many Polish prisoners of war were then incarcerated in so-called voids.;zwanych;;
To miejsca niewolniczej pracy w nieludzkich warunkach.;These are places of slave labor under inhuman conditions.;nieludzkich;;
Jednorazowo mogło przebywać w obozach ponad 2 miliony ludzi.;One time, more than 2 million people could be in camps.;obozach;;
Komunistyczne gułagi W 1917 wybuchła rewolucja październikowa.;Communist Gulags The October Revolution broke out in 1917.;październikowa;;
Wy mówicie Báthory, tak?;You say Báthora, right?;Báthory;;
Dziś chcę zaprosić Was na rozmowę z jednym Was, z moim słuchaczem z Węgier, który ma na imię Rasid.;Today I want to invite you to talk to one of you, with my listener from Hungary, who is named Rasid.;Węgier;;
-No, wiem, bo uczyłem się pięć lat temu starogreckiego i tam są cztery i polski ma sześć, tak?;- Well, I know, because I studied five years ago in Greek and there are four and the Polish has six, right?;starogreckiego;;
No i… mam lat 27, mam właśnie licencjat z anglistyki i mam magistrat z hungarystyki, to znaczy, że mógłbym uczyć węgierskiego dla obcokrajowców.;And... I'm 27 years old, I have a Bachelor's degree in English, and I have a master's degree in Hungaristics, which means I could teach Hungarian for foreigners.;anglistyki;;
Pozdrawiam bardzo serdecznie pana Nikolaja ze szkoły językowej Eurostudy w Kijowie.;I cordially greet Mr Nikolaj from the Eurostuddy language school in Kiev.;Pozdrawiam;;
Nie jest tak, ale niektórzy tak, kultywują, ja bardzo lubię słuchać, kiedy ktoś mówi tak.;It's not like that, but some people do, and I really like listening when someone says yes.;niektórzy;;
Jeśli słuchasz materiał jakiś, jakiś podkast, jakiś film i nie wszystko rozumiesz, możesz zwracać uwagę właśnie na te rzeczy: jaki ktoś ma głos, jaką ma intonację, czy zadaje pytanie, może odpowiada na pytanie… Ok?;If you're listening to some footage, some podcast, some movie, and you don't understand everything, you can pay attention to these things: what kind of voice someone has, what kind of intonation does he ask a question, maybe answer a question... Okay?;intonację;;
Ale gdy słuchasz, możesz wsłuchiwać się tylko w jedną rzecz, w jeden instrument.;But when you listen, there's only one thing you can listen to, one instrument.;wsłuchiwać;;
Jeśli mózg nie ćwiczy, to traci neurony i połączenia między neuronami.;If the brain isn't practicing, it's losing neurons and connections between neurons.;neuronami;;
Ostatnio Basia napisała do mnie: Dzięki Tobie, mój poziom polskiego jest teraz tak niespodziewane wysoko, że potrafię słuchać mnóstwo innych audycji.;Recently Basia wrote to me: Thanks to you, my Polish level is now so unexpected high that I can listen to a lot of other broadcasts.;Basia;;
Naukowcy mogą nawet zobaczyć, które komórki są dobrze dotlenione, dotlenione czyli mające dużo tlenu.;Scientists can even see which cells are well oxygenated, oxygenated, or having a lot of oxygen.;dotlenione;;
Ciało i umysł to rzeczy, które są ze sobą nierozerwalne.;Body and mind are things that are inseparable.;nierozerwalne;;
Jeśli jesteście tu nowi to przypomnę tylko, że dla początkujących mam kurs  100 Daily Polish Stories , a dla bardziej zaawansowanych kursy  365 Daily Polish Listening  i  Historyjki z Polskimi Idiomami  oraz klub VIP, w którym jest już ponad 300 filmików.;If you are new here I will only remind you that for beginners I have a course of 100 Daily Polish Stories, and for more advanced courses 365 Daily Polish Listening and Stories with Polish Idioms and a VIP club in which there are already more than 300 videos.;Listening;;
W końcu udało się zbudować ogromny akcelerator i odkryto gluon, nową cząsteczkę, która przenosi silne oddziaływanie jądrowe.;Finally, we managed to build a huge accelerator and discovered a gluon, a new molecule that carries a powerful nuclear effect.;gluon;;
Cząstka bardzo ciężka, którą nazwano cząstką Higgsa, bo to właście Richard Higgs pierwszy zaproponował jej istnienie.;A very heavy particle called Higgs, because it was Richard Higgs who first proposed its existence.;Higgsa;;
Richard Feynman powiedział: – Podstawowa reguła jest taka: nie możesz oszukiwać samego siebie i pamiętaj… oszukać siebie jest najłatwiej.;"Richard Feynman said, ""The basic rule is, you can't fool yourself and remember... fool yourself is the easiest.";najłatwiej;;
Po dwudziestu latach dalszej pracy Rutherford odkrył, że jądro atomowe składa się z dwóch mniejszych elementów: z protonów i neutronów.;After twenty years of further work, Rutherford discovered that the atomic nucleus consists of two smaller elements: protons and neutrons.;neutronów;;
Feynman był twórcą elektrodynamiki kwantowej.;Feynman was the creator of quantum electrodynamics.;elektrodynamiki;;
Silne i słabe oddziaływanie jądrowe, elektromagnetyzm i grawitację.;Strong and weak nuclear, electromagnetism and gravity.;elektromagnetyzm;;
Ostatnio zainspirował mnie Richard Feynman.;I was recently inspired by Richard Feynman.;Feynman;;
W tym czasie myślano, że te elementy są zbudowane z niepodzielnych sfer, niepodzielnych kul nazywanych atomami.;At that time, it was thought that these elements were made up of undivided spheres, undivided spheres called atoms.;niepodzielnych;;
Niektórzy używają bardzo trudnych słów, których nauczyli się z książek, albo słowników, ale czasami dla innych te słowa nie są zrozumiałe, dlatego warto używać zwykłych, codziennych słów.;Some use very difficult words that they have learned from books or dictionaries, but sometimes these words are not understandable to others, so it is worth using ordinary, everyday words.;Niektórzy;;
Dlatego, gdy trzymamy jabłko w ręku, jabłko wciąż jest w całości, bo elektrony jabłka odpychają elektrony mojej ręki.;Therefore, when we hold an apple in our hand, the apple is still whole because the electrons of apples push away the electrons of my hand.;odpychają;;
Naukowcy przeprowadzili liczne badania i stwierdzili, że protony, neutrony i elektrony to nie wszystko, musi być coś jeszcze, bo inaczej nie da się wytłumaczyć pewnych doświadczeń, które zrobili.;Scientists have conducted numerous studies and found that protons, neutrons and electrons are not everything, there must be something else, otherwise there is no explanation for some of the experiences they have done.;protony;;
Udowodnił to doświadczalnie Michael Faraday.;Michael Faraday proved it experimentally.;Faraday;;
To jak działa świat, wszechświat, inne galaktyki, podróże w czasie i przestrzeni, to wszystko bardzo rozpala moją wyobraźnię.;The way the world works, the universe, other galaxies, time travel and space, it all really ignites my imagination.;rozpala;;
Obecnie technologia podwaja się co dwa lata.;Now technology doubles every two years.;podwaja;;
Już dziś żyją ludzie, którzy mają wszczepiony w mózg układ komputerowy.;People already live today who have a computer system implanted into their brains.;wszczepiony;;
Pozdrawiam serdecznie!;Greetings!;Pozdrawiam;;
Kiedyś, nasza wiedza podwajała się co 2500 lat.;Once upon a time, our knowledge doubled every 2,500 years.;2500;;
I myślę, że nastała pora, że to już pora, żeby rozpocząć podcast.;And I think it's time to start the podcast.;nastała;;
Jeśli komuś uszkodzi się mózg, to już niedługo będzie można wymienić kilka neuronów i wyleczyć takiego człowieka.;If someone's brain is damaged, it'll be possible to replace a few neurons soon enough and heal a man like that.;neuronów;;
Moi drodzy, na tym chcę skończyć dzisiejsze wybieganie w przyszłość.;Ladies and gentlemen, that's where I want to end up running into the future today.;wybieganie;;
Otóż, chciałbym trochę wybiec w przyszłość, opowiedzieć trochę o niedalekiej, ale bardzo ciekawej przyszłości, o tym co już niedługo za 20, może 30 lat prawdopodobnie zdarzy się na naszej planecie, o tym co jest nieuniknione.;Well, I'd like to run into the future a little bit, tell you a little bit about the near, but very interesting future, about what's going to happen soon in 20, maybe 30 years, probably going to happen on our planet, about what's inevitable.;wybiec;;
Jeśli dziś masz smartfona, inteligentny telefon, to twoja komórka ma większą moc obliczeniową, niż wszystkie komputery razem wzięte 50 lat temu.;If you have a smartphone today, an intelligent phone, then your cell has more computing power than all computers combined 50 years ago.;obliczeniową;;
Jeszcze tylko przypomnę, że czeka na Was klub VIP, że czeka program dla początkujących  100 Daily Polish Stories  i dla średniozawansowanych  365 Daily Polish Listening .;Let me remind you that VIP Club is waiting for you, that there is a program for beginners 100 Daily Polish Stories and for intermediate 365 Daily Polish Listening.;Listening;;
W roku 394 n.e., czyli po narodzinach Chrystusa, powstał ostatni zapis, ostatni dokument napisany przy pomocy hieroglifów, których używano do zapisywania języka egipskiego.;In 394 C.E., or after the birth of Christ, the last record was written, the last document written with hieroglyphs that were used to write the Egyptian language.;hieroglifów;;
